y,loan,mortgage,job,workyear,delinquency,period,inquire,transact,DTI
0,11600,36357,Other,31,0,237.82,0,19,20.18
0,11600,33379,Other,31,0,247.12,0,19,23.66
0,11600,64510,ProfExe,5,0,150.26,1,34,43.24
0,11600,57436,Other,11,0,255.13,0,27,28.95
0,11600,129432,Office,0,0,341.05,0,16,39.96
0,11600,73079,ProfExe,7,0,152.25,0,33,34.25
0,11600,80277,Other,5,1,93.73,0,10,37.2
0,11700,42151,Other,22,0,122.03,0,23,40.08
1,11700,69048,Mgr,3,4,204.03,1,38,36.84
0,11700,78789,Mgr,5,0,128.36,2,27,41.95
0,11700,47072,Other,18,0,192.25,0,16,35.06
0,11700,95411,ProfExe,14,0,177.93,1,17,34.49
1,11700,54085,Other,2,2,8.06,3,15,32.01
1,11700,51600,Other,15,1,125.36,4,20,38.97
0,11700,52650,Other,0,0,194.76,1,13,27.61
0,11700,59932,Office,14,0,238.49,0,32,44.47
0,11700,40266,Other,8,0,75,0,15,39.5
0,11700,75175,Other,12,0,146.96,1,16,23.77
0,11700,84863,Other,0,0,266.99,0,4,30.33
0,11700,63724,Office,13,0,233.25,3,37,40.08
0,11700,59506,Other,3,0,37.57,2,4,35.27
1,11700,69100,Mgr,4,0,80.1,0,22,35.6
1,11700,62400,Office,20,0,216.07,2,24,47.85
1,11700,63914,Other,7,0,162.58,2,51,69.48
0,11700,37093,Mgr,11,0,163.92,1,20,37.01
0,11700,74783,Mgr,7,0,116.76,0,23,28.02
0,11700,64278,Other,12,0,245.3,0,26,28.44
0,11700,15163,ProfExe,19,2,378.83,1,11,20.09
0,11700,56441,Other,17,0,198.03,0,16,33.93
0,11700,78157,Mgr,1,0,69.81,2,24,38.45
0,11700,55119,Mgr,4,0,199.41,2,16,27.62
0,11700,56990,Other,4,2,177.43,0,13,31
0,11700,101520,Other,18,2,198.54,1,16,38.72
0,11700,96532,Other,12,0,214.87,2,15,40.29
0,11700,68059,Other,3,0,175.66,1,35,30.25
1,11800,74512,Office,4,0,117.92,2,16,58.3
0,11800,118053,Self,5,0,181.17,0,18,33.2
0,11800,52104,Office,0,0,160.75,0,21,37.13
0,11800,79131,ProfExe,5,0,105.25,0,34,36.07
1,11800,67678,ProfExe,13,7,126.66,0,36,37.16
0,11800,82417,Other,10,0,357.33,0,7,34.33
0,11800,21813,Office,5,1,104.01,0,16,19.41
0,11800,44944,Other,9,0,74.16,0,14,42.81
0,11800,57760,Mgr,11,0,108.47,1,18,32.78
0,11800,65062,Office,12,0,251.14,0,31,43.37
0,11800,67336,Office,12,0,255.31,3,36,40.88
0,11800,86785,Office,11,0,148.18,1,22,37.88
0,11800,116742,ProfExe,15,1,170.54,1,33,30.79
0,11800,38825,Other,10,0,82.53,0,14,40.88
0,11800,32257,Office,23,0,231.6,0,29,25.7
0,11800,65763,Other,11,0,305.57,2,13,32.5
0,11800,65012,Office,26,0,171.89,2,13,42.49
0,11800,53596,Mgr,5,0,126.79,1,24,41.05
0,11800,98877,Other,18,2,195.86,1,16,36.87
0,11800,112146,ProfExe,14,0,170.7,0,32,29.94
0,11900,44600,Other,9,0,243.5,0,18,37.7
1,11900,54867,Mgr,1,0,182.6,2,23,22.16
0,11900,44142,Other,22,0,123.47,0,22,37.15
0,11900,56443,Office,12,0,119.86,0,24,38.86
0,11900,85486,ProfExe,11,1,175.54,0,28,33.67
1,11900,108763,Office,8,0,60.38,3,21,49.42
0,11900,56792,Mgr,13,0,118.61,1,18,32.67
0,11900,79302,Other,9,1,81.39,0,9,35.5
0,11900,71000,Mgr,20,0,238.47,11,24,28.9
0,11900,85179,Other,10,0,217.32,1,17,39.43
0,11900,41009,Office,23,0,234.93,0,28,28.39
0,11900,28329,ProfExe,21,0,239.46,0,10,24.53
0,11900,117550,ProfExe,15,1,170.95,1,32,29.1
1,11900,58104,Other,7,0,69.43,1,19,42.82
1,11900,52814,Other,12,0,123.6,0,20,43.65
0,11900,34222,Office,24,0,228.08,1,29,25.73
0,11900,26601,Other,0,0,240.69,0,11,40.78
0,11900,81849,ProfExe,5,1,82.64,1,34,36.51
1,11900,29822,Office,13,0,132.4,0,4,36.61
0,11900,201264,ProfExe,10,0,239.74,0,22,33.78
0,11900,97506,Other,17,1,196.57,2,15,38
0,11900,89595,Mgr,9,0,250.47,0,24,30.31
1,11900,63833,Other,3,1,147.5,2,26,40.93
0,11900,78959,Mgr,1,0,79.08,1,23,40.02
0,11900,83877,Self,15,0,12.75,1,7,18.25
0,11900,114329,ProfExe,15,1,185.57,0,32,28.98
0,11900,81318,ProfExe,6,0,92.14,1,33,37.53
0,11900,61094,Other,12,0,250.2,0,26,29.73
0,12000,84172,Office,9,0,139.02,1,21,38.58
0,12000,83560,Other,8,0,174.49,1,21,38.93
0,12000,63019,Office,6,0,98.59,2,14,24.49
0,12000,41182,Other,23,0,118.18,0,22,37.13
0,12000,57371,Mgr,10,0,83.25,1,19,29.63
0,12000,76799,Mgr,8,0,102.2,0,22,27.17
0,12000,35028,Other,23,1,108.63,0,23,40.8
0,12000,30777,Other,8,0,151.7,7,28,38.18
0,12000,7804,Other,8,0,347.12,0,21,16.82
0,12000,38130,Office,23,0,234.89,1,29,26.3
0,12000,15756,Office,23,0,259.56,0,20,29.4
1,12000,50581,Other,9,2,206.32,1,12,29.84
0,12000,69796,Office,16,1,91.43,0,8,24.46
0,12000,102109,Other,2,0,104.48,0,25,34.77
0,12000,79844,ProfExe,8,0,156.95,0,34,31.7
1,12000,76345,Other,8,0,91.97,1,19,50.17
0,12000,35721,Other,23,1,125.93,0,22,38.63
0,12000,72786,Office,4,2,198.77,3,30,38.09
1,12000,42000,Other,4,2,145.53,0,23,40.87
1,12000,69000,ProfExe,2,0,115.9,0,15,45.6
1,12000,74427,Other,18,1,169.73,2,40,34.68
1,12000,51230,Other,3,2,213.67,1,15,39.02
0,12000,43000,Other,1,0,262.97,0,21,32.3
0,12000,96000,ProfExe,14,0,126.8,5,22,31.67
0,12000,46000,Other,4,0,176.5,0,14,41.31
0,12000,87000,Sales,13,2,151.13,1,18,20.61
0,12000,98000,ProfExe,10,0,170.43,3,32,43.82
0,12000,76187,Other,0,0,144.07,0,23,46.53
0,12000,73000,ProfExe,9,0,189.7,1,30,33.37
0,12000,150000,ProfExe,7,1,206.67,4,26,34.5
0,12000,29600,ProfExe,8,0,264.8,1,16,27.46
0,12000,68400,Other,0,0,162.59,0,0,42.45
0,12000,94000,Office,2,0,143.03,1,22,27.44
0,12000,72000,Other,6,0,78.07,2,14,32.38
0,12000,42482,ProfExe,19,0,199.9,0,16,26.01
0,12000,53800,Other,0,0,124.77,4,11,25.67
0,12000,88000,Mgr,3,3,153.5,0,26,35.29
0,12000,44000,Other,4,0,172.5,0,14,41.06
0,12000,81000,ProfExe,9,0,200.9,2,37,37.73
0,12000,36346,Other,7,0,114.67,2,19,32.37
0,12000,81000,Other,20,0,136,4,24,38.32
0,12000,64000,Other,2,0,239.53,3,26,26.99
1,12000,67164,Other,13,1,153.02,2,16,40.5
0,12000,85039,ProfExe,0,2,144.07,1,34,34.33
0,12000,87000,Office,11,0,216.13,0,12,28.64
1,12000,68007,Other,19,8,195.83,0,13,32.77
1,12000,75373,Other,6,0,99.37,0,21,18.91
1,12000,36000,Other,0,0,247.5,1,10,35.19
1,12000,114390,Mgr,10,0,95.73,0,25,44.8
1,12000,28298,Other,8,1,105.5,2,22,50.99
1,12000,118000,ProfExe,2,0,153.17,2,17,37.38
1,12000,87917,Other,13,1,71,0,12,51.06
1,12000,58730,Office,10,4,123.1,3,25,29.05
1,12000,59099,Other,10,2,219.13,0,33,34.76
1,12000,15231,Office,6,1,65.97,2,18,36.67
1,12000,48786,ProfExe,30,5,220.13,1,16,35.18
1,12000,74265,Other,7,0,137,0,3,51.06
1,12000,42000,Other,5,1,113.63,1,18,36.8
0,12000,76674,Mgr,5,0,147.91,2,27,41.23
1,12000,54257,Other,14,1,188.34,2,31,38.94
0,12000,36072,ProfExe,8,0,288.53,0,16,22.42
0,12000,97650,ProfExe,11,0,199.83,1,17,34.39
0,12000,75877,Other,9,0,356.93,0,7,37.93
0,12000,88210,ProfExe,8,0,203.47,1,36,41.57
0,12000,84191,ProfExe,0,0,79.68,1,20,33.77
0,12000,63589,Office,14,0,253.62,1,31,43.16
1,12000,66762,Other,7,0,121.38,0,4,39.69
1,12000,48189,Other,5,0,276.38,0,18,65.5
0,12000,98428,Other,16,1,188.15,2,15,36.74
0,12100,56335,Other,17,0,206.25,0,17,35.13
0,12100,48622,Other,4,2,191.57,0,12,29.2
0,12100,58556,Other,3,1,234.66,1,16,37.64
1,12100,186062,ProfExe,0,0,67.78,2,4,26.99
0,12100,13218,Other,7,0,262.39,0,14,18.43
0,12100,96439,Mgr,3,3,156.32,0,26,39.28
0,12100,44484,Other,3,0,263.04,0,20,28.8
1,12100,29097,Other,8,1,109.51,1,22,45.3
0,12100,90917,Sales,11,2,159.87,0,17,33.45
0,12100,50100,Other,3,0,176.01,0,14,28.55
0,12100,68941,Office,14,0,254.19,0,31,43.9
0,12100,50150,Other,4,0,166.23,0,13,26.64
0,12100,50973,Mgr,6,0,122.69,1,24,41.13
1,12100,22000,Other,1,0,167.4,1,17,40.99
0,12100,12000,Mgr,9,0,118.77,0,11,31.44
0,12100,31400,Other,6,0,107.53,2,16,21.56
1,12100,67000,Mgr,5,0,155.2,1,32,31.33
0,12100,67927,Other,2,0,35.54,2,3,38.85
0,12100,61048,Other,0,0,229.79,0,0,0.72
0,12100,74594,Mgr,4,0,123.78,2,27,41.63
0,12100,83557,ProfExe,6,0,102.23,1,26,25.78
0,12100,61868,Other,30,3,170.44,0,23,37.92
0,12100,46152,Other,0,0,270.49,0,20,29.5
0,12100,97185,Other,13,0,202.62,2,15,37.72
0,12100,105104,ProfExe,13,0,129.52,5,22,37.41
0,12100,71060,Other,3,0,179.87,1,35,29.89
0,12100,85121,ProfExe,0,2,139.49,0,34,33.94
0,12100,28193,Other,0,0,125.48,1,27,37.62
0,12100,18728,Mgr,9,0,117.65,0,10,21.59
0,12100,55147,Other,0,0,229.41,0,10,35.87
0,12100,48149,ProfExe,17,0,200.03,0,15,23.13
0,12200,61929,Office,14,0,238.52,1,32,44.45
0,12200,110088,ProfExe,3,0,251.15,1,46,33.52
0,12200,57785,Other,2,0,166.9,1,16,34.71
0,12200,67474,Other,2,0,234.78,3,26,29.1
0,12200,136866,ProfExe,4,0,427.92,0,43,30.18
0,12200,80336,ProfExe,2,0,79.73,2,19,34.41
1,12200,97000,ProfExe,5,0,152.13,3,33,48.36
0,12200,91000,Other,11,0,173.5,0,27,38.3
0,12200,206613,ProfExe,10,1,237.32,0,22,30.69
0,12200,45095,Other,9,0,249.67,0,18,31.64
0,12200,70722,Other,0,0,219.79,3,26,30.28
0,12200,199232,ProfExe,11,0,223.44,0,21,31.37
0,12200,82904,Office,8,0,131.66,1,21,37.27
0,12200,61302,Other,2,0,35.97,1,4,39.97
0,12200,27118,ProfExe,19,0,232.24,0,11,25.24
1,12200,53242,Other,14,0,169.93,0,18,34.63
0,12200,57112,Other,1,0,235.23,0,9,35.11
0,12200,90154,ProfExe,9,0,196.93,2,37,43.19
0,12200,86775,ProfExe,0,1,138.61,1,33,34.35
0,12300,79838,ProfExe,8,0,173.84,0,11,37.82
0,12300,114035,ProfExe,15,1,173.71,0,33,32.06
0,12300,89333,Other,19,0,120.26,3,24,28.77
1,12300,24552,Other,0,0,171.08,0,16,29.3
0,12300,61253,Sales,5,0,130.03,0,34,27.2
0,12300,152107,ProfExe,7,1,212.78,3,25,43.13
0,12300,48866,Office,11,1,251.63,1,29,32.88
1,12300,48238,Office,6,1,80.39,1,11,40.02
0,12300,112373,ProfExe,16,1,179.88,0,32,30.49
0,12300,69499,Other,8,0,219.09,0,20,18.58
0,12300,60200,Office,13,0,242.24,1,32,45.39
0,12300,97373,Mgr,5,0,163.54,1,9,20.03
1,12300,78000,Other,0,0,145.07,1,19,43.95
1,12300,50230,Sales,1,1,184.37,2,20,45.83
1,12300,49800,ProfExe,23,2,232.33,3,17,30.42
1,12300,77000,Mgr,41,4,212.87,4,17,45.42
0,12300,114457,ProfExe,1,0,252.66,0,45,32.5
0,12300,52622,Other,0,0,191.08,1,13,26.2
0,12300,152274,Office,4,0,196.88,0,56,33.72
0,12300,27859,Other,10,0,82.76,0,3,34.39
0,12300,90006,Office,9,0,133.5,1,21,36.91
0,12300,159798,ProfExe,6,0,206.82,4,25,41.43
0,12300,81590,Mgr,6,0,136.75,1,26,41.73
0,12300,35651,Other,22,0,118.65,0,23,40.66
0,12300,50441,Office,1,0,186.45,0,21,35.45
0,12300,33061,Other,8,1,154.9,7,28,39.7
0,12300,102908,ProfExe,9,0,159.99,2,31,27.71
0,12300,141020,ProfExe,4,1,403.75,0,43,29.58
0,12300,92573,ProfExe,2,2,157.62,0,33,34.78
1,12300,73099,ProfExe,4,1,163.05,2,25,40.22
1,12300,11300,Other,10,1,170.43,3,21,36.15
0,12300,68024,Sales,7,0,125.5,0,35,29.29
1,12300,64265,Other,10,1,233.16,0,32,32.91
0,12400,132894,Office,0,1,355.16,0,16,40.54
0,12400,31303,Other,29,0,246.72,0,18,20.21
0,12400,80510,ProfExe,1,0,74.4,1,19,36.46
0,12400,137927,ProfExe,6,1,436.75,0,42,29.27
1,12400,45604,Other,9,1,70.34,1,24,35.21
0,12400,26768,Other,0,0,253.32,0,11,38.82
0,12400,203902,ProfExe,9,0,213.46,0,22,33.65
0,12400,16375,Mgr,8,0,120.67,0,11,24.09
0,12400,49264,Other,0,0,182,2,13,27.01
0,12400,36034,ProfExe,9,0,262.08,0,16,21.35
0,12400,69414,Other,0,0,248.1,0,0,2.37
1,12400,94000,Mgr,4,0,128.19,0,0,44.72
0,12400,115902,ProfExe,1,0,288.47,0,45,33.05
0,12400,115004,ProfExe,2,0,279.52,1,46,35.61
1,12400,57105,Other,12,0,134.03,0,20,36.93
0,12400,34055,Other,9,0,147.01,6,29,39.93
1,12400,50573,Other,15,0,76.04,0,7,41.03
0,12400,97075,Other,9,0,349.28,0,6,35.71
0,12400,25805,Other,2,0,187.49,1,21,38.24
0,12400,24769,ProfExe,21,0,238.38,0,11,25.33
0,12400,83018,Other,2,0,95.9,2,32,41.24
0,12500,93538,ProfExe,0,1,132.82,0,33,34.83
0,12500,37562,Other,22,1,129.49,0,23,39.08
1,12500,69117,ProfExe,13,7,145.95,0,36,36.76
0,12500,157312,ProfExe,7,0,209.71,4,25,40.91
0,12500,10035,Other,6,1,368.74,0,21,14.73
0,12500,83276,Office,7,0,138.69,0,22,39.59
0,12500,57294,Other,3,1,321.39,0,9,31.38
0,12500,101047,Office,2,0,156.61,1,22,35.9
0,12500,56960,Other,4,0,307.64,0,10,30.36
0,12500,83924,ProfExe,0,0,71.3,1,20,34.71
0,12500,79900,Mgr,19,0,252.35,10,24,35.8
0,12500,70707,Mgr,6,0,173.72,1,8,21.62
1,12500,41000,Other,2,0,70.9,3,30,39.35
1,12500,41301,Other,2,0,77.23,0,12,38.57
1,12500,55000,Other,1,1,113.03,1,16,46.54
0,12500,77100,Office,5,0,173.47,1,26,17.26
0,12500,71582,Other,6,0,74.07,1,21,35.33
1,12500,53060,Office,16,5,183.63,0,15,39.28
1,12500,69192,Mgr,4,0,282.03,1,23,42.94
1,12500,62000,Other,10,6,226.43,4,42,47.11
0,12500,50097,Other,1,0,267.87,0,20,29.16
0,12500,77792,ProfExe,10,0,182.96,1,29,27.39
0,12500,53354,Office,10,0,249.44,1,29,35.02
0,12500,66163,Office,4,2,176.94,3,30,36.77
0,12500,81865,Other,1,0,147.4,0,23,38.86
0,12500,17659,Office,7,1,107.74,0,16,19.3
0,12500,55228,Mgr,3,0,198.82,1,17,28
0,12500,77937,Mgr,19,0,223.59,10,24,35.95
0,12500,26286,Other,2,0,190.71,1,16,38.44
0,12500,66126,Other,0,0,309.4,1,9,32.32
0,12500,56791,Other,29,3,182.07,0,24,35.69
0,12500,75651,Other,7,0,166.01,1,25,27.35
0,12600,71370,Office,26,0,162.36,2,14,39.88
0,12600,84933,ProfExe,8,0,192.42,1,37,40.85
0,12600,80612,Mgr,5,0,141.61,2,26,40.75
1,12600,68800,Mgr,3,1,202.87,8,26,38.13
1,12600,41170,Other,6,0,98.43,10,18,34.62
0,12600,83921,Other,3,0,106.94,1,32,41.47
0,12600,45633,ProfExe,19,0,209.73,0,15,23.92
0,12600,103946,Other,17,2,194.36,1,16,36.41
0,12600,125688,Office,0,1,344.75,0,16,39.48
1,12600,86785,Other,1,1,89.07,2,27,31.63
1,12600,72854,ProfExe,2,0,118.07,0,14,36.05
0,12600,67860,Other,9,0,202.15,0,20,18.35
0,12600,103960,Other,2,0,129.02,0,25,34.48
0,12600,32742,Other,10,1,170.41,7,29,37.8
0,12600,25000,Other,9,0,87.2,2,12,30.75
1,12600,48983,Other,5,0,58.7,7,23,39.41
0,12600,62493,Other,13,0,266.33,0,26,27.01
0,12600,55415,Other,29,2,198.85,0,23,36.84
0,12600,58247,Other,30,3,198.24,0,23,35.79
0,12600,100590,ProfExe,14,0,138.16,4,22,34.6
0,12600,85335,Other,2,0,116.09,1,32,40.85
0,12600,83552,Other,21,0,128.66,4,24,28.72
0,12600,37699,Other,22,0,114.24,0,23,38.68
0,12600,76002,Other,11,0,164.76,5,21,39.53
0,12600,49986,Mgr,3,0,190.16,1,17,29.27
0,12700,204038,ProfExe,10,0,242.91,0,22,29.8
0,12700,79448,Mgr,20,0,227.51,10,23,34.46
0,12700,149272,Office,7,0,191.9,1,55,33.9
0,12700,29471,Other,9,0,79.9,0,4,36.02
0,12700,72760,Office,6,3,189.92,3,29,37.37
0,12700,72409,Other,0,0,302.87,1,8,27.99
0,12700,79383,Other,5,0,78.3,2,14,33.58
1,12700,30428,ProfExe,2,0,164.49,0,36,38.87
0,12700,103034,Other,2,0,137.44,0,25,31.6
0,12700,58293,Office,13,0,105.05,0,23,36.7
0,12700,30061,Other,29,0,230.88,0,19,20.64
0,12700,27459,Mgr,16,0,72.33,0,9,31.61
0,12700,77068,ProfExe,7,1,148.29,0,34,33.46
0,12700,130867,Office,0,1,340.8,0,15,40.17
0,12700,61840,ProfExe,1,0,157.89,2,35,41.65
0,12700,79898,ProfExe,9,0,215,1,29,29.31
0,12700,105293,Office,14,0,250.02,0,16,35.29
0,12700,60122,Other,0,0,38.33,1,3,42.11
0,12700,72164,Office,10,0,165.43,0,13,37.54
0,12700,48139,Other,0,0,192.48,2,13,26.55
0,12700,9038,Other,7,1,346.58,0,22,13.35
0,12700,59440,Other,0,0,129.15,3,11,37.84
0,12700,53199,Other,3,1,185.33,0,13,27.39
0,12700,58606,Other,1,0,125.33,3,11,36
0,12700,159661,ProfExe,7,1,210.12,4,26,43.77
0,12700,107653,ProfExe,8,0,181.03,2,32,29.47
0,12700,37346,Other,23,0,136.96,0,22,39.43
0,12800,99160,Office,2,0,142.21,0,22,35.95
0,12800,66293,Office,27,0,169.72,1,14,41.23
0,12800,117391,ProfExe,1,0,136.62,1,14,27.12
0,12800,54546,Mgr,3,0,175.52,1,16,28.65
0,12800,49349,Other,9,0,240.91,0,17,31.75
0,12800,56516,Other,0,1,195.72,0,13,27.34
1,12800,40932,Other,20,0,162.04,0,16,37.52
0,12800,100241,Other,17,1,197.27,1,15,39.47
0,12800,73624,Other,10,0,201.65,0,20,19.56
0,12800,94091,Other,10,0,209.34,1,20,25.13
0,12800,70631,Other,7,0,188.51,1,23,24.66
0,12800,206527,ProfExe,11,0,225.2,0,22,31.12
1,12800,54151,Other,13,0,132.16,0,16,23.48
1,12800,81030,Mgr,11,1,80.15,4,29,42.32
0,12800,67867,Other,3,0,159.8,1,34,30.01
0,12800,48437,Other,0,0,260.56,0,21,29.52
1,12800,51800,ProfExe,6,1,88.49,2,20,39.55
1,12800,111000,Sales,7,0,203.9,2,40,45.86
0,12800,76783,Mgr,6,0,140.97,2,26,42.15
0,12800,58592,Office,13,0,139.53,0,24,37.53
0,12800,11986,Office,23,0,265.23,0,20,28.49
0,12800,46043,Other,4,0,183.98,0,13,26.1
0,12800,42801,Other,23,1,127.84,0,22,39.39
1,12800,67060,Office,9,3,116.47,2,24,43.57
0,12800,91040,Other,12,0,175.88,0,26,34.75
0,12800,71531,Office,26,0,167.16,1,14,40.38
0,12800,75139,ProfExe,8,0,151.85,0,35,31.21
0,12800,77318,Mgr,6,0,125.53,2,27,39.46
0,12800,85251,ProfExe,1,2,143.68,0,33,31.91
0,12800,79151,Other,4,0,79.37,1,13,33.59
0,12800,29100,Other,7,0,93.4,2,12,31.28
0,12800,81694,Other,0,0,159.35,1,22,40.11
0,12800,68729,Office,23,0,163.99,1,14,39.42
0,12900,69770,Other,6,0,201.93,3,19,30.89
1,12900,94000,Office,8,1,205.93,0,19,31.49
0,12900,34655,Other,31,0,245,0,18,21.42
0,12900,64245,Office,13,0,246.84,3,36,40.56
0,12900,39401,Other,22,0,118.65,0,23,38.69
0,12900,58566,Mgr,5,0,116.78,1,24,39.98
0,12900,105638,Other,17,2,208.31,2,16,39.68
0,12900,59191,Other,2,0,175.17,1,17,35.56
1,12900,29891,Other,2,0,29.06,3,11,31.46
0,12900,151991,Office,6,0,186.81,0,55,34.19
0,12900,102905,Office,1,0,137.14,1,21,35.87
0,12900,92734,Mgr,11,0,236.05,0,24,28.66
0,12900,87270,ProfExe,0,0,65.11,1,20,34.7
0,12900,90646,Other,19,0,141.21,3,23,31.53
0,12900,66126,Other,2,0,187.18,1,34,30
0,12900,67038,Office,9,0,147.2,0,12,37.09
0,12900,89510,Other,20,0,117.86,3,24,28.54
1,12900,46266,Other,7,0,77.13,5,18,39.15
0,12900,83886,ProfExe,5,0,115.08,1,27,27.98
0,12900,31498,Mgr,14,0,55.02,0,9,31.99
0,12900,149297,Office,4,0,205.87,0,56,34.98
1,12900,117900,Mgr,6,0,227.93,0,35,47.62
0,12900,55673,Other,4,0,163.42,0,14,26.99
0,12900,88304,Office,10,0,223.45,0,12,41.43
0,12900,50636,Other,0,0,187.83,1,13,28.81
0,12900,52353,Other,2,0,167.52,0,13,37.36
0,12900,89492,ProfExe,10,2,169.19,0,28,32.82
0,12900,19688,ProfExe,20,2,407.26,0,12,22.84
0,12900,70167,Office,25,0,177.08,2,13,40.23
0,12900,45215,Other,4,0,170.76,0,14,39.25
0,12900,56957,Other,29,3,179.1,1,23,36.39
0,12900,56798,Other,1,0,225.59,0,9,33.02
0,12900,61031,Other,28,2,178.09,0,23,34.8
0,12900,18106,Mgr,8,0,134.38,0,10,20.52
1,13000,64499,Other,1,0,109.4,0,19,39.99
0,13000,15374,Other,6,0,355.13,1,21,15.82
0,13000,27787,Other,8,1,166.73,7,28,38.36
0,13000,81972,ProfExe,5,0,107.42,0,26,24.72
0,13000,65530,Other,28,0,203.9,0,4,25.74
0,13000,61509,Other,6,0,172.85,2,17,35.39
0,13000,80587,Other,6,0,85.01,1,13,33.99
0,13000,72931,Other,6,0,208.67,2,18,41.05
1,13000,29461,ProfExe,11,0,171.6,1,8,38.92
0,13000,78766,ProfExe,6,0,107.95,0,26,24.87
0,13000,49268,ProfExe,19,0,192.36,0,15,23.62
0,13000,39386,Other,4,0,110.48,1,16,38.52
0,13000,67395,Office,8,0,214.48,3,28,40.97
0,13000,53951,Other,28,3,212.39,1,24,36.73
0,13000,67284,Other,8,0,367.94,0,6,36.56
0,13000,29196,Other,9,0,143.11,6,28,37.3
0,13000,96172,ProfExe,14,0,181.89,1,18,36.23
0,13000,88614,ProfExe,13,2,188.82,0,28,32.62
0,13000,16913,Office,23,0,264.99,0,20,30.62
1,13000,125969,Other,4,0,110.19,2,30,48.98
1,13000,70000,Other,15,3,142.17,0,37,19.95
1,13000,34000,Other,4,1,148.5,2,24,45.54
0,13000,38200,ProfExe,4,0,211.07,3,18,22.57
0,13000,6793,ProfExe,4,0,304.37,0,16,32.03
0,13000,59000,Other,9,0,292.1,0,20,31.87
0,13000,61612,ProfExe,8,0,262.73,1,12,24.55
0,13000,95116,Other,13,0,90.93,2,9,23.9
0,13000,20200,ProfExe,21,1,199.9,2,16,40.22
1,13000,7200,Other,1,1,193.8,0,9,34.61
1,13000,41193,Other,18,2,66.93,4,7,43.61
1,13000,36223,Other,9,0,132.87,0,14,28.92
1,13000,43744,Self,22,1,21.27,1,15,29.19
1,13000,94941,ProfExe,0,0,132.87,0,21,33.51
1,13000,137618,ProfExe,9,6,106.53,6,37,30.42
1,13000,47000,Self,1,0,172.32,3,12,53.49
1,13000,177000,Mgr,3,2,195.83,1,50,27.36
1,13000,60000,Other,12,2,149.17,0,28,41.08
1,13000,111000,Mgr,6,2,138.33,3,65,55.38
1,13000,152029,ProfExe,20,0,19.33,7,5,38.99
0,13000,26863,Other,10,0,93,2,11,29.11
0,13000,110094,ProfExe,2,0,285.28,0,45,35.05
0,13000,66014,Office,4,3,185.64,2,30,39.42
0,13000,61865,ProfExe,0,0,172.7,2,34,42.57
0,13000,76424,Other,28,0,198.07,0,5,25.51
0,13000,77355,Other,8,0,162.5,1,19,36.35
0,13000,44875,Other,0,0,184.99,1,12,28.6
0,13000,110097,ProfExe,3,0,122.64,0,15,29.33
0,13000,60719,Other,11,0,256.71,0,26,27.31
0,13000,80277,Other,3,0,67.11,2,14,37.3
0,13000,40996,Mgr,7,0,190.61,1,19,35.81
0,13100,48153,Other,11,0,242.65,0,18,30.89
0,13100,70878,ProfExe,10,0,174.88,0,11,39.78
0,13100,74832,ProfExe,6,0,101.36,1,26,27.02
0,13100,59608,Other,30,2,195.54,1,24,36.61
0,13100,69259,Office,11,0,240.41,3,37,40.74
1,13100,81358,ProfExe,1,1,142.32,2,23,35.45
0,13100,64897,Sales,7,0,130.65,0,34,26.5
0,13100,82042,Other,0,0,319.6,0,8,25.84
1,13100,22422,Office,3,0,93.3,1,3,49.61
0,13100,82411,Other,21,0,135.86,4,24,29.22
0,13100,70368,Other,2,0,232.99,3,26,29.67
0,13100,76217,Other,0,0,241.45,0,0,3.66
0,13100,50552,Other,4,0,178.61,0,13,38.76
0,13100,73987,Office,9,0,149.45,1,13,37.01
0,13100,61853,Other,13,0,258.94,0,26,28.73
0,13100,97287,Other,9,0,162.99,0,26,34.18
0,13100,59460,Other,29,2,182.18,0,24,34.79
1,13100,54000,Other,14,0,92.4,0,9,31.06
0,13100,58039,Other,29,2,184.88,1,23,37.35
0,13100,44817,Other,8,0,71.46,0,15,41.61
0,13200,155478,Office,5,0,196.24,1,55,35.6
0,13200,70328,Other,0,0,173.63,0,1,1.57
0,13200,70069,Other,3,0,240.86,2,25,29.06
0,13200,69195,Office,13,0,248.79,3,37,41.91
0,13200,69697,Office,24,0,183.52,1,14,39.75
0,13200,58549,Office,13,0,94.69,0,24,38.41
0,13200,15346,Office,7,1,89.65,0,16,18.11
1,13200,65372,Other,4,1,102.62,3,29,38.93
1,13200,65997,Other,2,0,113.23,2,25,58.67
0,13200,93254,Mgr,3,3,156.55,0,25,42.74
0,13200,22270,Office,5,1,107.77,0,17,20.64
0,13200,77241,Other,5,0,68.55,2,14,34.54
0,13200,81654,Other,5,0,97.96,1,13,33.74
0,13200,71775,Other,0,0,240.64,3,25,29.27
0,13200,28428,Other,0,0,156.13,1,10,39.37
0,13200,59422,Other,11,0,294.78,0,19,29.95
0,13200,117985,ProfExe,16,1,178.06,0,33,29.95
1,13300,58000,Mgr,7,1,226.2,1,33,35.58
0,13300,96201,Mgr,3,3,178.03,0,26,40.1
0,13300,76663,ProfExe,10,0,180.03,1,30,27.05
0,13300,80059,Other,10,0,208.79,1,21,34.56
0,13300,61414,Other,12,0,260.07,0,27,27.29
0,13300,81944,Other,5,0,81.11,1,13,33.87
1,13300,67483,ProfExe,16,2,335.99,1,14,30.38
